tolerance,model,precision peptides,recall peptides,f1 peptides,precision propeptides,recall propeptides,f1 propeptides,precision all,recall all,f1 all
0,../hyperparam_runs_esm1b_balanced/0/2/1,0.5,0.29547198772064465,0.371442354076218,0.3435114503816794,0.22451888809693513,0.27155172413793105,0.44642857142857145,0.27798369162342473,0.3426222019186843
0,../hyperparam_runs_esm1b_balanced/0/2/2,0.5305466237942122,0.24498886414253898,0.33519553072625696,0.28,0.18460441910192446,0.2225085910652921,0.4072632944228275,0.23156342182890854,0.2952515279736718
0,../hyperparam_runs_esm1b_balanced/0/2/3,0.5178365937859609,0.3464203233256351,0.4151291512915129,0.36977886977886976,0.21454027084818247,0.2715381145692377,0.47418967587034816,0.2942271880819367,0.3631349115145944
0,../hyperparam_runs_esm1b_balanced/0/2/4,0.5078828828828829,0.3479938271604938,0.41300366300366304,0.2726530612244898,0.23806129722024233,0.25418569254185697,0.38894184938036225,0.3063063063063063,0.3427131457370852
0,../hyperparam_runs_esm1b_balanced_33/0/4/1,0.42435897435897435,0.25094768764215314,0.31538828013339687,0.27365356622998543,0.26799714896650034,0.2707958228303925,0.3430178069353327,0.27232142857142855,0.303608461219411
0,../hyperparam_runs_esm1b_balanced_33/0/4/2,0.47575057736720555,0.3130699088145897,0.37763519706691107,0.28023850085178875,0.2344975053456878,0.2553356616220411,0.3759250123334978,0.28475336322869954,0.32404847969381245
0,../hyperparam_runs_esm1b_balanced_33/0/4/3,0.5331724969843185,0.3247612049963262,0.4036529680365296,0.288695652173913,0.23663578047042053,0.2600861731296514,0.42538071065989846,0.3185100722158875,0.36426863725277114
0,../hyperparam_runs_esm1b_balanced_33/0/4/4,0.4236343366778149,0.29298380878951424,0.3463992707383774,0.3908355795148248,0.2066999287241625,0.2703962703962704,0.43807763401109057,0.26411589895988113,0.32954808806488994
0,../hyperparam_runs_esm2_650_balanced_32/0/4/1,0.4825268817204301,0.2699248120300752,0.3461909353905497,0.2834562697576396,0.1917320028510335,0.22874149659863943,0.39366786140979687,0.24516369047619047,0.30215497478221
0,../hyperparam_runs_esm2_650_balanced_32/0/4/2,0.45866141732283466,0.36349453978159124,0.40557006092254133,0.3333333333333333,0.27441197434069853,0.30101641907740423,0.41818181818181815,0.3375987956341739,0.37359433569346107
0,../hyperparam_runs_esm2_650_balanced_32/0/4/3,0.5327455919395466,0.3149664929262844,0.39588207767898925,0.31732418524871353,0.2637205987170349,0.288049824834566,0.43460350154479915,0.3114391143911439,0.3628546861564918
0,../hyperparam_runs_esm2_650_balanced_32/0/4/4,0.45489815712900095,0.3588370313695486,0.40119760479041916,0.2612546125461255,0.2523164647184604,0.25670775924583034,0.36638297872340425,0.3239277652370203,0.34384984025559107
0,../hyperparam_runs_esm2_650_balanced_33/0/1/1,0.4731934731934732,0.30804248861911987,0.37316176470588236,0.3068297655453619,0.21454027084818247,0.2525167785234899,0.4102285092491839,0.2800891530460624,0.33289183222958063
0,../hyperparam_runs_esm2_650_balanced_33/0/1/2,0.5378151260504201,0.335832083958021,0.4134748500230734,0.391304347826087,0.29508196721311475,0.3364485981308411,0.4699570815450644,0.3238447319778189,0.3834537097833224
